HenshinModule,HenshinRule,inputModel,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,nRefactors,nRulesSucessExecuted,mean,median,sd 
GroupCardinalitiesRefactoring,[GroupCardinalitiesRefactor],fm,100,101,10,8,2,8,6125410.0,5505600.0,2467609.839682927
GroupCardinalitiesNMRefactoring,[GroupCardinalitiesNM],fm,101,101,8,0,8,16,2.3096836666666668E7,2.27055E7,3750589.491487379
