HenshinModule,HenshinRule,inputModel,nFeatures,nRefactors,nRulesSucessExecuted,mean,median,sd 
GroupCardinalitiesRefactoring,[GroupCardinalitiesRefactor],gc005,6,0,7,5885350.0,6706000.0,820650.0
GroupCardinalitiesNMRefactoring,[GroupCardinalitiesNM],gc005,6,1,23,1.06909E7,1.16484E7,957500.0
