nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,nRefactors,mean,median,sd 
6,6,1,0,1,1066523.3333333333,802600.0,1589509.6230563968
30,30,3,0,3,798026.6666666666,816200.0,235645.42280487626
