Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,nRefactors,Time(ns) 
28,9,9,2,0,2,54200
29,9,9,2,0,2,53900
0,9,9,2,0,2,183100
1,9,9,2,0,2,269600
2,9,9,2,0,2,89400
3,9,9,2,0,2,93400
4,9,9,2,0,2,79900
5,9,9,2,0,2,106000
6,9,9,2,0,2,120000
7,9,9,2,0,2,83600
8,9,9,2,0,2,74100
9,9,9,2,0,2,196800
10,9,9,2,0,2,78400
11,9,9,2,0,2,73900
12,9,9,2,0,2,76800
13,9,9,2,0,2,84400
14,9,9,2,0,2,80000
15,9,9,2,0,2,77100
16,9,9,2,0,2,74200
17,9,9,2,0,2,79300
18,9,9,2,0,2,108900
19,9,9,2,0,2,76900
20,9,9,2,0,2,73000
21,9,9,2,0,2,74100
22,9,9,2,0,2,72500
23,9,9,2,0,2,75000
24,9,9,2,0,2,78000
25,9,9,2,0,2,72500
26,9,9,2,0,2,72700
27,9,9,2,0,2,72500
28,9,9,2,0,2,72600
29,9,9,2,0,2,72700
0,9,9,2,0,2,132000
1,9,9,2,0,2,68800
2,9,9,2,0,2,260100
3,9,9,2,0,2,99700
4,9,9,2,0,2,174000
5,9,9,2,0,2,84100
6,9,9,2,0,2,74700
7,9,9,2,0,2,73500
8,9,9,2,0,2,66200
9,9,9,2,0,2,67100
10,9,9,2,0,2,65700
11,9,9,2,0,2,69800
12,9,9,2,0,2,65500
13,9,9,2,0,2,64200
14,9,9,2,0,2,70000
15,9,9,2,0,2,64900
16,9,9,2,0,2,67800
17,9,9,2,0,2,70400
18,9,9,2,0,2,66600
19,9,9,2,0,2,67400
20,9,9,2,0,2,64700
21,9,9,2,0,2,180300
22,9,9,2,0,2,71600
23,9,9,2,0,2,66100
24,9,9,2,0,2,67000
25,9,9,2,0,2,64500
26,9,9,2,0,2,65100
27,9,9,2,0,2,65300
28,9,9,2,0,2,66600
29,9,9,2,0,2,65200
0,9,9,2,0,2,1006400
1,9,9,2,0,2,1289100
2,9,9,2,0,2,735000
3,9,9,2,0,2,678500
4,9,9,2,0,2,899300
5,9,9,2,0,2,706700
6,9,9,2,0,2,747900
7,9,9,2,0,2,689000
8,9,9,2,0,2,930300
9,9,9,2,0,2,682700
10,9,9,2,0,2,598700
11,9,9,2,0,2,675700
12,9,9,2,0,2,858700
13,9,9,2,0,2,1903400
14,9,9,2,0,2,856100
15,9,9,2,0,2,1040000
16,9,9,2,0,2,951200
17,9,9,2,0,2,687100
18,9,9,2,0,2,611200
19,9,9,2,0,2,954600
20,9,9,2,0,2,859000
21,9,9,2,0,2,551400
22,9,9,2,0,2,617400
23,9,9,2,0,2,478300
24,9,9,2,0,2,587800
25,9,9,2,0,2,488600
26,9,9,2,0,2,540400
27,9,9,2,0,2,660200
28,9,9,2,0,2,640700
29,9,9,2,0,2,518200
0,17,17,4,0,4,1030100
1,17,17,4,0,4,445300
2,17,17,4,0,4,393900
3,17,17,4,0,4,317000
4,17,17,4,0,4,370900
5,17,17,4,0,4,360300
6,17,17,4,0,4,526300
7,17,17,4,0,4,317300
8,17,17,4,0,4,257300
9,17,17,4,0,4,267000
10,17,17,4,0,4,281100
11,17,17,4,0,4,235600
12,17,17,4,0,4,250100
13,17,17,4,0,4,228500
14,17,17,4,0,4,253100
15,17,17,4,0,4,289900
16,17,17,4,0,4,244900
17,17,17,4,0,4,255100
18,17,17,4,0,4,229800
19,17,17,4,0,4,235300
20,17,17,4,0,4,311300
21,17,17,4,0,4,255400
22,17,17,4,0,4,328400
23,17,17,4,0,4,286500
24,17,17,4,0,4,339400
25,17,17,4,0,4,467800
26,17,17,4,0,4,249900
27,17,17,4,0,4,346900
28,17,17,4,0,4,238200
29,17,17,4,0,4,226100
0,34,34,8,0,8,2909200
1,34,34,8,0,8,728200
2,34,34,8,0,8,662500
3,34,34,8,0,8,1726300
4,34,34,8,0,8,701100
5,34,34,8,0,8,638200
6,34,34,8,0,8,1245300
7,34,34,8,0,8,711700
8,34,34,8,0,8,2682700
9,34,34,8,0,8,675900
10,34,34,8,0,8,585500
11,34,34,8,0,8,568400
12,34,34,8,0,8,537000
13,34,34,8,0,8,682500
14,34,34,8,0,8,1456100
15,34,34,8,0,8,590700
16,34,34,8,0,8,565200
17,34,34,8,0,8,2777600
18,34,34,8,0,8,934000
19,34,34,8,0,8,639000
20,34,34,8,0,8,905600
21,34,34,8,0,8,608300
22,34,34,8,0,8,1561400
23,34,34,8,0,8,535700
24,34,34,8,0,8,490800
25,34,34,8,0,8,498700
26,34,34,8,0,8,557900
27,34,34,8,0,8,509600
28,34,34,8,0,8,669400
29,34,34,8,0,8,559400
0,13,13,3,0,3,780500
1,13,13,3,0,3,254100
2,13,13,3,0,3,205400
3,13,13,3,0,3,216800
4,13,13,3,0,3,204800
5,13,13,3,0,3,200800
6,13,13,3,0,3,358200
7,13,13,3,0,3,453100
8,13,13,3,0,3,1424300
9,13,13,3,0,3,341700
10,13,13,3,0,3,249100
11,13,13,3,0,3,332400
12,13,13,3,0,3,826200
13,13,13,3,0,3,278600
14,13,13,3,0,3,274800
15,13,13,3,0,3,211000
16,13,13,3,0,3,540100
17,13,13,3,0,3,235000
18,13,13,3,0,3,192300
19,13,13,3,0,3,201000
20,13,13,3,0,3,185800
21,13,13,3,0,3,296000
22,13,13,3,0,3,751100
23,13,13,3,0,3,494400
24,13,13,3,0,3,342200
25,13,13,3,0,3,243400
26,13,13,3,0,3,206500
27,13,13,3,0,3,203700
28,13,13,3,0,3,220100
29,13,13,3,0,3,181200
0,13,13,3,0,3,114400
1,13,13,3,0,3,73500
2,13,13,3,0,3,66300
3,13,13,3,0,3,65100
4,13,13,3,0,3,69700
5,13,13,3,0,3,131500
6,13,13,3,0,3,73800
7,13,13,3,0,3,81700
8,13,13,3,0,3,73200
9,13,13,3,0,3,167900
10,13,13,3,0,3,80200
11,13,13,3,0,3,70900
12,13,13,3,0,3,85600
13,13,13,3,0,3,69500
14,13,13,3,0,3,69600
15,13,13,3,0,3,69700
16,13,13,3,0,3,66000
17,13,13,3,0,3,78400
18,13,13,3,0,3,65200
19,13,13,3,0,3,73400
20,13,13,3,0,3,65500
21,13,13,3,0,3,65100
22,13,13,3,0,3,71900
23,13,13,3,0,3,64700
24,13,13,3,0,3,64700
25,13,13,3,0,3,72300
26,13,13,3,0,3,65300
27,13,13,3,0,3,64700
28,13,13,3,0,3,63800
29,13,13,3,0,3,67400
0,5,5,1,0,1,318900
1,5,5,1,0,1,4469600
2,5,5,1,0,1,179100
3,5,5,1,0,1,108500
4,5,5,1,0,1,102200
5,5,5,1,0,1,104200
6,5,5,1,0,1,95800
7,5,5,1,0,1,161100
8,5,5,1,0,1,253300
9,5,5,1,0,1,109100
10,5,5,1,0,1,175200
11,5,5,1,0,1,186400
12,5,5,1,0,1,197700
13,5,5,1,0,1,201600
14,5,5,1,0,1,211900
15,5,5,1,0,1,256900
16,5,5,1,0,1,117300
17,5,5,1,0,1,107000
18,5,5,1,0,1,108800
19,5,5,1,0,1,101000
20,5,5,1,0,1,93600
21,5,5,1,0,1,94100
22,5,5,1,0,1,93300
23,5,5,1,0,1,93900
24,5,5,1,0,1,95400
25,5,5,1,0,1,94000
26,5,5,1,0,1,96200
27,5,5,1,0,1,150100
28,5,5,1,0,1,98300
29,5,5,1,0,1,92300
0,9,9,2,0,2,341600
1,9,9,2,0,2,201200
2,9,9,2,0,2,451000
3,9,9,2,0,2,211500
4,9,9,2,0,2,181800
5,9,9,2,0,2,215000
6,9,9,2,0,2,182300
7,9,9,2,0,2,188400
8,9,9,2,0,2,178100
9,9,9,2,0,2,173200
10,9,9,2,0,2,397900
11,9,9,2,0,2,249200
12,9,9,2,0,2,174000
13,9,9,2,0,2,179200
14,9,9,2,0,2,179300
15,9,9,2,0,2,183400
16,9,9,2,0,2,267400
17,9,9,2,0,2,178900
18,9,9,2,0,2,168000
19,9,9,2,0,2,329600
20,9,9,2,0,2,174900
21,9,9,2,0,2,158900
22,9,9,2,0,2,158100
23,9,9,2,0,2,155500
24,9,9,2,0,2,166400
25,9,9,2,0,2,279800
26,9,9,2,0,2,259200
27,9,9,2,0,2,295100
28,9,9,2,0,2,197100
29,9,9,2,0,2,224800
0,9,9,2,0,2,506600
1,9,9,2,0,2,326100
2,9,9,2,0,2,241000
3,9,9,2,0,2,219100
4,9,9,2,0,2,233300
5,9,9,2,0,2,237500
6,9,9,2,0,2,233800
7,9,9,2,0,2,232800
8,9,9,2,0,2,221900
9,9,9,2,0,2,341700
10,9,9,2,0,2,270000
11,9,9,2,0,2,272700
12,9,9,2,0,2,293500
13,9,9,2,0,2,233000
14,9,9,2,0,2,361300
15,9,9,2,0,2,232500
16,9,9,2,0,2,242300
17,9,9,2,0,2,235500
18,9,9,2,0,2,227700
19,9,9,2,0,2,214500
20,9,9,2,0,2,321000
21,9,9,2,0,2,265900
22,9,9,2,0,2,248400
23,9,9,2,0,2,265000
24,9,9,2,0,2,232000
25,9,9,2,0,2,241400
26,9,9,2,0,2,240600
27,9,9,2,0,2,231200
28,9,9,2,0,2,220200
29,9,9,2,0,2,224800
