Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,nRefactors,Time(ns) 
27,6,6,2,0,2,43200
28,6,6,2,0,2,48000
29,6,6,2,0,2,43800
0,9,9,3,0,3,72000
1,9,9,3,0,3,121300
2,9,9,3,0,3,218300
3,9,9,3,0,3,69100
4,9,9,3,0,3,64100
5,9,9,3,0,3,65400
6,9,9,3,0,3,63300
7,9,9,3,0,3,64000
8,9,9,3,0,3,124000
9,9,9,3,0,3,69700
10,9,9,3,0,3,57300
11,9,9,3,0,3,56800
12,9,9,3,0,3,61100
13,9,9,3,0,3,55700
14,9,9,3,0,3,55600
15,9,9,3,0,3,55500
16,9,9,3,0,3,58900
17,9,9,3,0,3,55500
18,9,9,3,0,3,55000
19,9,9,3,0,3,110500
20,9,9,3,0,3,92300
21,9,9,3,0,3,66200
22,9,9,3,0,3,63700
23,9,9,3,0,3,72300
24,9,9,3,0,3,67700
25,9,9,3,0,3,62600
26,9,9,3,0,3,62700
27,9,9,3,0,3,63900
28,9,9,3,0,3,63800
29,9,9,3,0,3,62800
0,24,24,7,0,7,205600
1,24,24,7,0,7,172500
2,24,24,7,0,7,265900
3,24,24,7,0,7,157000
4,24,24,7,0,7,320000
5,24,24,7,0,7,192100
6,24,24,7,0,7,255700
7,24,24,7,0,7,275700
8,24,24,7,0,7,542000
9,24,24,7,0,7,145200
10,24,24,7,0,7,160000
11,24,24,7,0,7,130800
12,24,24,7,0,7,157100
13,24,24,7,0,7,132000
14,24,24,7,0,7,130600
15,24,24,7,0,7,149600
16,24,24,7,0,7,126900
17,24,24,7,0,7,132800
18,24,24,7,0,7,128100
19,24,24,7,0,7,126700
20,24,24,7,0,7,150500
21,24,24,7,0,7,125700
22,24,24,7,0,7,129300
23,24,24,7,0,7,124700
24,24,24,7,0,7,125200
25,24,24,7,0,7,132300
26,24,24,7,0,7,209400
27,24,24,7,0,7,159800
28,24,24,7,0,7,138900
29,24,24,7,0,7,139300
0,27,27,8,0,8,299700
1,27,27,8,0,8,151700
2,27,27,8,0,8,145800
3,27,27,8,0,8,149900
4,27,27,8,0,8,144000
5,27,27,8,0,8,140400
6,27,27,8,0,8,143000
7,27,27,8,0,8,149300
8,27,27,8,0,8,140600
9,27,27,8,0,8,143900
10,27,27,8,0,8,145100
11,27,27,8,0,8,148800
12,27,27,8,0,8,146800
13,27,27,8,0,8,150700
14,27,27,8,0,8,145000
15,27,27,8,0,8,214000
16,27,27,8,0,8,177700
17,27,27,8,0,8,157100
18,27,27,8,0,8,155900
19,27,27,8,0,8,158700
20,27,27,8,0,8,148200
21,27,27,8,0,8,201200
22,27,27,8,0,8,142300
23,27,27,8,0,8,149200
24,27,27,8,0,8,138400
25,27,27,8,0,8,137100
26,27,27,8,0,8,141600
27,27,27,8,0,8,146700
28,27,27,8,0,8,141700
29,27,27,8,0,8,136800
0,24,24,8,0,8,351300
1,24,24,8,0,8,136700
2,24,24,8,0,8,135000
3,24,24,8,0,8,132200
4,24,24,8,0,8,136700
5,24,24,8,0,8,223100
6,24,24,8,0,8,159200
7,24,24,8,0,8,147000
8,24,24,8,0,8,149700
9,24,24,8,0,8,148800
10,24,24,8,0,8,147300
11,24,24,8,0,8,139200
12,24,24,8,0,8,134600
13,24,24,8,0,8,130000
14,24,24,8,0,8,149200
15,24,24,8,0,8,136700
16,24,24,8,0,8,133100
17,24,24,8,0,8,128700
18,24,24,8,0,8,127300
19,24,24,8,0,8,139400
20,24,24,8,0,8,129600
21,24,24,8,0,8,129700
22,24,24,8,0,8,127500
23,24,24,8,0,8,127700
24,24,24,8,0,8,128300
25,24,24,8,0,8,127600
26,24,24,8,0,8,141900
27,24,24,8,0,8,132100
28,24,24,8,0,8,135900
29,24,24,8,0,8,132600
0,44,44,13,0,13,444300
1,44,44,13,0,13,319900
2,44,44,13,0,13,258600
3,44,44,13,0,13,247100
4,44,44,13,0,13,259800
5,44,44,13,0,13,335000
6,44,44,13,0,13,259300
7,44,44,13,0,13,245000
8,44,44,13,0,13,203900
9,44,44,13,0,13,485500
10,44,44,13,0,13,225000
11,44,44,13,0,13,301600
12,44,44,13,0,13,226700
13,44,44,13,0,13,234600
14,44,44,13,0,13,245300
15,44,44,13,0,13,234600
16,44,44,13,0,13,235700
17,44,44,13,0,13,222900
18,44,44,13,0,13,228900
19,44,44,13,0,13,225400
20,44,44,13,0,13,224900
21,44,44,13,0,13,240700
22,44,44,13,0,13,225000
23,44,44,13,0,13,226000
24,44,44,13,0,13,223100
25,44,44,13,0,13,223500
26,44,44,13,0,13,238200
27,44,44,13,0,13,231100
28,44,44,13,0,13,224300
29,44,44,13,0,13,219400
0,5,5,1,0,1,46600
1,5,5,1,0,1,23400
2,5,5,1,0,1,21600
3,5,5,1,0,1,21400
4,5,5,1,0,1,24100
5,5,5,1,0,1,21500
6,5,5,1,0,1,21300
7,5,5,1,0,1,21300
8,5,5,1,0,1,28200
9,5,5,1,0,1,24500
10,5,5,1,0,1,23400
11,5,5,1,0,1,21800
12,5,5,1,0,1,21200
13,5,5,1,0,1,21100
14,5,5,1,0,1,21500
15,5,5,1,0,1,21400
16,5,5,1,0,1,21400
17,5,5,1,0,1,22000
18,5,5,1,0,1,21700
19,5,5,1,0,1,21300
20,5,5,1,0,1,22000
21,5,5,1,0,1,21800
22,5,5,1,0,1,21800
23,5,5,1,0,1,21500
24,5,5,1,0,1,21400
25,5,5,1,0,1,21500
26,5,5,1,0,1,24800
27,5,5,1,0,1,22600
28,5,5,1,0,1,21700
29,5,5,1,0,1,21400
0,5,5,1,0,1,66900
1,5,5,1,0,1,25900
2,5,5,1,0,1,23800
3,5,5,1,0,1,24600
4,5,5,1,0,1,23300
5,5,5,1,0,1,23500
6,5,5,1,0,1,29600
7,5,5,1,0,1,23800
8,5,5,1,0,1,23500
9,5,5,1,0,1,23800
10,5,5,1,0,1,25600
11,5,5,1,0,1,23700
12,5,5,1,0,1,24200
13,5,5,1,0,1,25700
14,5,5,1,0,1,24000
15,5,5,1,0,1,23700
16,5,5,1,0,1,23800
17,5,5,1,0,1,23800
18,5,5,1,0,1,23500
19,5,5,1,0,1,23700
20,5,5,1,0,1,25400
21,5,5,1,0,1,24200
22,5,5,1,0,1,23700
23,5,5,1,0,1,27400
24,5,5,1,0,1,24000
25,5,5,1,0,1,23700
26,5,5,1,0,1,23400
27,5,5,1,0,1,24300
28,5,5,1,0,1,23500
29,5,5,1,0,1,24700
0,5,5,1,0,1,234900
1,5,5,1,0,1,28700
2,5,5,1,0,1,23600
3,5,5,1,0,1,23700
4,5,5,1,0,1,26800
5,5,5,1,0,1,23600
6,5,5,1,0,1,23300
7,5,5,1,0,1,25000
8,5,5,1,0,1,24000
9,5,5,1,0,1,23300
10,5,5,1,0,1,23500
11,5,5,1,0,1,23400
12,5,5,1,0,1,23500
13,5,5,1,0,1,23200
14,5,5,1,0,1,23400
15,5,5,1,0,1,23300
16,5,5,1,0,1,23500
17,5,5,1,0,1,25400
18,5,5,1,0,1,24200
19,5,5,1,0,1,23200
20,5,5,1,0,1,23300
21,5,5,1,0,1,23500
22,5,5,1,0,1,24300
23,5,5,1,0,1,23300
24,5,5,1,0,1,23200
25,5,5,1,0,1,23200
26,5,5,1,0,1,23100
27,5,5,1,0,1,23300
28,5,5,1,0,1,23300
29,5,5,1,0,1,23900
0,5,5,1,0,1,551100
1,5,5,1,0,1,189200
2,5,5,1,0,1,168200
3,5,5,1,0,1,192100
4,5,5,1,0,1,144100
5,5,5,1,0,1,125600
6,5,5,1,0,1,130400
7,5,5,1,0,1,141800
8,5,5,1,0,1,136900
9,5,5,1,0,1,132000
10,5,5,1,0,1,138200
11,5,5,1,0,1,134200
12,5,5,1,0,1,124400
13,5,5,1,0,1,132100
14,5,5,1,0,1,122200
15,5,5,1,0,1,231000
16,5,5,1,0,1,183700
17,5,5,1,0,1,140300
18,5,5,1,0,1,131800
19,5,5,1,0,1,153800
20,5,5,1,0,1,173700
21,5,5,1,0,1,131400
22,5,5,1,0,1,130500
23,5,5,1,0,1,127600
24,5,5,1,0,1,125700
25,5,5,1,0,1,123700
26,5,5,1,0,1,147000
27,5,5,1,0,1,116600
28,5,5,1,0,1,125800
29,5,5,1,0,1,141900
0,9,9,2,0,2,74800
1,9,9,2,0,2,42700
