Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,Time(s) 
23,250,288,38,0,0.15,0,204,46,7,7,38,9.156000014627352E-4
24,250,288,38,0,0.15,0,204,46,7,7,38,9.223000015481375E-4
25,250,288,38,0,0.15,0,204,46,7,7,38,9.151999984169379E-4
26,250,288,38,0,0.15,0,204,46,7,7,38,9.155000007012859E-4
27,250,288,38,0,0.15,0,204,46,7,7,38,9.337999945273623E-4
28,250,288,38,0,0.15,0,204,46,7,7,38,9.196000028168783E-4
29,250,288,38,0,0.15,0,204,46,7,7,38,9.181999994325452E-4
0,250,300,50,0,0.2,0,214,36,0,0,50,9.234000026481226E-4
1,250,300,50,0,0.2,0,214,36,0,0,50,8.966999957920052E-4
2,250,300,50,0,0.2,0,214,36,0,0,50,8.989999987534247E-4
3,250,300,50,0,0.2,0,214,36,0,0,50,8.941999985836446E-4
4,250,300,50,0,0.2,0,214,36,0,0,50,9.252000018022954E-4
5,250,300,50,0,0.2,0,214,36,0,0,50,9.105999997700565E-4
6,250,300,50,0,0.2,0,214,36,0,0,50,9.874000024865381E-4
7,250,300,50,0,0.2,0,214,36,0,0,50,9.753000049386173E-4
8,250,300,50,0,0.2,0,214,36,0,0,50,9.187999967252836E-4
9,250,300,50,0,0.2,0,214,36,0,0,50,8.920000036596321E-4
10,250,300,50,0,0.2,0,214,36,0,0,50,8.907000010367483E-4
11,250,300,50,0,0.2,0,214,36,0,0,50,8.922999986680225E-4
12,250,300,50,0,0.2,0,214,36,0,0,50,8.954000004450791E-4
13,250,300,50,0,0.2,0,214,36,0,0,50,8.945000008679926E-4
14,250,300,50,0,0.2,0,214,36,0,0,50,8.94299999345094E-4
15,250,300,50,0,0.2,0,214,36,0,0,50,9.028999993461184E-4
16,250,300,50,0,0.2,0,214,36,0,0,50,8.954000004450791E-4
17,250,300,50,0,0.2,0,214,36,0,0,50,8.908000017981976E-4
18,250,300,50,0,0.2,0,214,36,0,0,50,8.901999972295016E-4
19,250,300,50,0,0.2,0,214,36,0,0,50,8.973000003607012E-4
20,250,300,50,0,0.2,0,214,36,0,0,50,8.935000005294569E-4
21,250,300,50,0,0.2,0,214,36,0,0,50,8.933999997680075E-4
22,250,300,50,0,0.2,0,214,36,0,0,50,8.912999983294867E-4
23,250,300,50,0,0.2,0,214,36,0,0,50,8.960999984992668E-4
24,250,300,50,0,0.2,0,214,36,0,0,50,8.939000035752542E-4
25,250,300,50,0,0.2,0,214,36,0,0,50,8.933999997680075E-4
26,250,300,50,0,0.2,0,214,36,0,0,50,8.979000049293973E-4
27,250,300,50,0,0.2,0,214,36,0,0,50,8.927999951993115E-4
28,250,300,50,0,0.2,0,214,36,0,0,50,8.933999997680075E-4
29,250,300,50,0,0.2,0,214,36,0,0,50,8.929999967222102E-4
0,500,525,25,0,0.05,0,443,57,38,38,25,0.0013388000006671064
1,500,525,25,0,0.05,0,443,57,38,38,25,0.0015368999956990592
2,500,525,25,0,0.05,0,443,57,38,38,25,0.001341299997875467
3,500,525,25,0,0.05,0,443,57,38,38,25,0.0013388000006671064
4,500,525,25,0,0.05,0,443,57,38,38,25,0.00135009999939939
5,500,525,25,0,0.05,0,443,57,38,38,25,0.0013219999964348972
6,500,525,25,0,0.05,0,443,57,38,38,25,0.0014289000027929433
7,500,525,25,0,0.05,0,443,57,38,38,25,0.0013281999999890104
8,500,525,25,0,0.05,0,443,57,38,38,25,0.0016659999964758754
9,500,525,25,0,0.05,0,443,57,38,38,25,0.0013402999975369312
10,500,525,25,0,0.05,0,443,57,38,38,25,0.0014376999970409088
11,500,525,25,0,0.05,0,443,57,38,38,25,0.001447599999664817
12,500,525,25,0,0.05,0,443,57,38,38,25,0.0013362000026972964
13,500,525,25,0,0.05,0,443,57,38,38,25,0.00139159999525873
14,500,525,25,0,0.05,0,443,57,38,38,25,0.001356500004476402
15,500,525,25,0,0.05,0,443,57,38,38,25,0.0013797999999951571
16,500,525,25,0,0.05,0,443,57,38,38,25,0.0013274000011733733
17,500,525,25,0,0.05,0,443,57,38,38,25,0.0014511999979731627
