Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nProductsBefore,nProductsAfter,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,nRulesSucessfullyExecuted,Time(s) 
3,5,6,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0012132000410929322
4,5,6,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0011861000093631446
5,5,6,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0012256000190973282
6,5,6,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0012414000229910016
7,5,6,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0012916999985463917
8,5,6,1,0,0.2,4,4,0,3,2,0,0,1,36,0.001243599981535226
9,5,6,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0012358000385574996
10,5,6,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0013090000138618052
11,5,6,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0012512999819591641
12,5,6,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0012774000060744584
13,5,6,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0012537000002339482
14,5,6,1,0,0.2,4,4,0,3,2,0,0,1,36,0.001219899975694716
15,5,6,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0012764999992214143
16,5,6,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0013020000187680125
17,5,6,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0011798000195994973
18,5,6,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0011863000108860433
19,5,6,1,0,0.2,4,4,0,3,2,0,0,1,36,0.001205099979415536
20,5,6,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0011781000066548586
21,5,6,1,0,0.2,4,4,0,3,2,0,0,1,36,0.00121339998440817
22,5,6,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0011866999557241797
23,5,6,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0011247999500483274
24,5,6,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0012046999763697386
25,5,6,1,0,0.2,4,4,0,3,2,0,0,1,36,0.001242399972397834
26,5,6,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0013393000117503107
27,5,6,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0012420000275596976
28,5,6,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0012910999939776957
29,5,6,1,0,0.2,4,4,0,3,2,0,0,1,36,0.001171699957922101
0,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.0016534000169485807
1,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.0012187999673187733
2,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.0012341999681666493
3,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.0012106999638490379
4,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.0011944000143557787
5,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.0012915999977849424
6,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.001189200032968074
7,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.001221699989400804
8,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.001226999971549958
9,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.0012390000047162175
10,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.001256600022315979
11,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.001170800009276718
12,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.001220200036186725
13,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.001202200015541166
14,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.00123999995412305
15,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.0011689000530168414
16,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.0011858000070787966
17,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.0011879999656230211
18,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.0012202999787405133
