Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,nRulesSucessfullyExecuted,Time(s) 
12,250,250,50,0,0.2,0,214,36,0,0,50,45,0.16368259999944712
13,250,250,50,0,0.2,0,214,36,0,0,50,45,0.16244390000065323
14,250,250,50,0,0.2,0,214,36,0,0,50,45,0.16236660000140546
15,250,250,50,0,0.2,0,214,36,0,0,50,45,0.1641010000021197
16,250,250,50,0,0.2,0,214,36,0,0,50,45,0.16399169999931473
17,250,250,50,0,0.2,0,214,36,0,0,50,45,0.16446999999971013
18,250,250,50,0,0.2,0,214,36,0,0,50,45,0.1648462000011932
19,250,250,50,0,0.2,0,214,36,0,0,50,45,0.1623414000023331
20,250,250,50,0,0.2,0,214,36,0,0,50,45,0.16332899999906658
21,250,250,50,0,0.2,0,214,36,0,0,50,45,0.1650612999983423
22,250,250,50,0,0.2,0,214,36,0,0,50,45,0.1627446999991662
23,250,250,50,0,0.2,0,214,36,0,0,50,45,0.16396850000091945
24,250,250,50,0,0.2,0,214,36,0,0,50,45,0.16327079999973648
25,250,250,50,0,0.2,0,214,36,0,0,50,45,0.1643424000030791
26,250,250,50,0,0.2,0,214,36,0,0,50,45,0.16358219999892754
27,250,250,50,0,0.2,0,214,36,0,0,50,45,0.1651270000002114
28,250,250,50,0,0.2,0,214,36,0,0,50,45,0.2114082000007329
29,250,250,50,0,0.2,0,214,36,0,0,50,45,0.15952630000174395
0,500,500,50,0,0.1,0,430,70,25,25,50,45,0.1848424000054365
1,500,500,50,0,0.1,0,430,70,25,25,50,45,0.18648109999776352
2,500,500,50,0,0.1,0,430,70,25,25,50,45,0.18468009999924107
3,500,500,50,0,0.1,0,430,70,25,25,50,45,0.18458190000092145
4,500,500,50,0,0.1,0,430,70,25,25,50,45,0.18410669999866514
5,500,500,50,0,0.1,0,430,70,25,25,50,45,0.1844035999965854
6,500,500,50,0,0.1,0,430,70,25,25,50,45,0.18475210000178777
7,500,500,50,0,0.1,0,430,70,25,25,50,45,0.18246340000041528
8,500,500,50,0,0.1,0,430,70,25,25,50,45,0.18090440000378294
9,500,500,50,0,0.1,0,430,70,25,25,50,45,0.1812082000033115
10,500,500,50,0,0.1,0,430,70,25,25,50,45,0.18183919999864884
11,500,500,50,0,0.1,0,430,70,25,25,50,45,0.1822092000002158
12,500,500,50,0,0.1,0,430,70,25,25,50,45,0.1845134999966831
13,500,500,50,0,0.1,0,430,70,25,25,50,45,0.18174120000185212
14,500,500,50,0,0.1,0,430,70,25,25,50,45,0.1817652999961865
15,500,500,50,0,0.1,0,430,70,25,25,50,45,0.18500140000105603
16,500,500,50,0,0.1,0,430,70,25,25,50,45,0.1837221000023419
17,500,500,50,0,0.1,0,430,70,25,25,50,45,0.18575469999632332
18,500,500,50,0,0.1,0,430,70,25,25,50,45,0.1829576000018278
19,500,500,50,0,0.1,0,430,70,25,25,50,45,0.18315460000303574
20,500,500,50,0,0.1,0,430,70,25,25,50,45,0.18362870000419207
21,500,500,50,0,0.1,0,430,70,25,25,50,45,0.1840546000021277
22,500,500,50,0,0.1,0,430,70,25,25,50,45,0.18450799999845913
23,500,500,50,0,0.1,0,430,70,25,25,50,45,0.18680160000076285
24,500,500,50,0,0.1,0,430,70,25,25,50,45,0.19033440000202972
25,500,500,50,0,0.1,0,430,70,25,25,50,45,0.18551840000145603
26,500,500,50,0,0.1,0,430,70,25,25,50,45,0.18440489999920828
27,500,500,50,0,0.1,0,430,70,25,25,50,45,0.18470009999873582
28,500,500,50,0,0.1,0,430,70,25,25,50,45,0.18423009999969508
29,500,500,50,0,0.1,0,430,70,25,25,50,45,0.18502209999860497
0,500,501,75,0,0.15,0,426,74,13,13,75,45,0.3093172999942908
1,500,501,75,0,0.15,0,426,74,13,13,75,45,0.3073705999995582
2,500,501,75,0,0.15,0,426,74,13,13,75,45,0.30663900000217836
3,500,501,75,0,0.15,0,426,74,13,13,75,45,0.30914539999503177
4,500,501,75,0,0.15,0,426,74,13,13,75,45,0.3069773000024725
5,500,501,75,0,0.15,0,426,74,13,13,75,45,0.27741519999835873
6,500,501,75,0,0.15,0,426,74,13,13,75,45,0.30974760000390233
7,500,501,75,0,0.15,0,426,74,13,13,75,45,0.3090667999931611
8,500,501,75,0,0.15,0,426,74,13,13,75,45,0.31128240000543883
9,500,501,75,0,0.15,0,426,74,13,13,75,45,0.31713999999919906
10,500,501,75,0,0.15,0,426,74,13,13,75,45,0.3100425000011455
11,500,501,75,0,0.15,0,426,74,13,13,75,45,0.3761794999954873
12,500,501,75,0,0.15,0,426,74,13,13,75,45,0.29176600000209874
13,500,501,75,0,0.15,0,426,74,13,13,75,45,0.30204979999689385
14,500,501,75,0,0.15,0,426,74,13,13,75,45,0.29964900000049965
15,500,501,75,0,0.15,0,426,74,13,13,75,45,0.3012732999995933
16,500,501,75,0,0.15,0,426,74,13,13,75,45,0.30290220000460977
17,500,501,75,0,0.15,0,426,74,13,13,75,45,0.3027289999954519
18,500,501,75,0,0.15,0,426,74,13,13,75,45,0.30215920000046026
19,500,501,75,0,0.15,0,426,74,13,13,75,45,0.30205299999943236
20,500,501,75,0,0.15,0,426,74,13,13,75,45,0.3040575999984867
21,500,501,75,0,0.15,0,426,74,13,13,75,45,0.30045850000169594
22,500,501,75,0,0.15,0,426,74,13,13,75,45,0.30064429999765707
23,500,501,75,0,0.15,0,426,74,13,13,75,45,0.30216070000460604
