nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,mean(s),median(s),sd(s) 
3750,3750,188,0,0.05,0,3239,511,282,282,188,0.12676063333298468,0.12577910000254633,0.003533620056355933
3750,3750,375,0,0.1,0,3187,563,188,188,375,0.13670670333400872,0.13537350000115111,0.006655468280148234
3750,3750,563,0,0.15,0,3184,566,94,94,563,0.16869972000010117,0.16845330000069225,0.0018138108237740686
3750,3750,750,0,0.2,0,3173,577,0,0,750,0.13627782000015334,0.1352998000002117,0.004388662653274599
4000,4000,200,0,0.05,0,3482,518,300,300,200,0.1422826200000903,0.1408136000027298,0.004226844837464922
4000,4000,400,0,0.1,0,3412,588,200,200,400,0.15375533333305308,0.15379620000021532,8.031516860207483E-4
4000,4000,600,0,0.15,0,3404,596,100,100,600,0.19197692666736355,0.1911407000006875,0.00434606297187318
4000,4000,800,0,0.2,0,3409,591,0,0,800,0.16471364333435,0.16452440000284696,0.0013236155112711675
4250,4250,213,0,0.05,0,3701,549,319,319,213,0.780266546667311,0.7733214000036241,0.11807550565702803
4250,4250,425,0,0.1,0,3619,631,213,213,425,0.1786072166672966,0.17825960000482155,0.001273076272456797
4250,4250,638,0,0.15,0,3630,620,107,107,638,0.22210359666617782,0.22182230000180425,0.0019169234453121223
4250,4250,850,0,0.2,0,3639,611,0,0,850,0.17768483333299326,0.1755609999963781,0.007032501504373266
4500,4500,225,0,0.05,0,3907,593,338,338,225,0.2014638533333103,0.1993173000009847,0.007598819329109597
4500,4500,450,0,0.1,0,3798,702,225,225,450,0.19914113333409963,0.19902410000213422,0.0010370085705124516
4500,4500,675,0,0.15,0,3811,689,113,113,675,0.24205260000017007,0.24152570000296691,0.0028129333447702264
4500,4500,900,0,0.2,0,3828,672,0,0,900,0.20277425333309415,0.19776079999428475,0.02396190645310718
4750,4750,238,0,0.05,0,4117,633,357,357,238,0.20947475333329446,0.20837380000011763,0.0028891065049927735
4750,4750,475,0,0.1,0,4069,681,238,238,475,0.21637766666754032,0.21643659999972442,0.0012799507224413957
4750,4750,713,0,0.15,0,4028,722,119,119,713,0.2671960500003479,0.2636244000022998,0.010344954570218947
4750,4750,950,0,0.2,0,4054,696,0,0,950,0.22387140999950741,0.22350339999684365,0.002666659579288618
5000,5000,250,0,0.05,0,4353,647,375,375,250,0.4388765799999722,0.41938980000122683,0.029168672258016677
5000,5000,500,0,0.1,0,4268,732,250,250,500,0.23844053999904039,0.23834050000004936,0.0013450214698244338
5000,5000,750,0,0.15,0,4237,763,125,125,750,0.2873506699999174,0.2858905000030063,0.0074684085491831375
5000,5000,1000,0,0.2,0,4261,739,0,0,1000,0.24410205999956816,0.24340809999557678,0.003416983533844972
5250,5250,263,0,0.05,0,4560,690,394,394,263,0.2642933833337641,0.260566299999482,0.013522022601142695
5250,5250,525,0,0.1,0,4419,831,263,263,525,0.2708441399995839,0.268914299995231,0.005679574778444305
5250,5250,788,0,0.15,0,4487,763,132,132,788,0.33466109000025124,0.3287329000013415,0.018422944679206885
5250,5250,1050,0,0.2,0,4452,798,0,0,1050,0.2969281133337063,0.29054760000144597,0.01763703787398207
5500,5500,275,0,0.05,0,4754,746,413,413,275,0.29963877000045613,0.29574890000367304,0.011238251720107227
5500,5500,550,0,0.1,0,4679,821,275,275,550,0.285983756667459,0.2853696999954991,0.0035991529702020923
5500,5500,825,0,0.15,0,4661,839,138,138,825,0.3548996866675831,0.3535203999999794,0.007947604196520701
5500,5500,1100,0,0.2,0,4637,863,0,0,1100,0.30867604333373794,0.30778610000561457,0.005334278284108817
5750,5750,288,0,0.05,0,4982,768,432,432,288,0.3312421366669393,0.3293839000034495,0.006724640316351895
5750,5750,575,0,0.1,0,4916,834,288,288,575,0.3258557499999976,0.3220394999952987,0.01100582990316052
5750,5750,863,0,0.15,0,4904,846,144,144,863,0.4019609000000249,0.39660510000248905,0.014611566441810747
5750,5750,1150,0,0.2,0,4920,830,0,0,1150,0.3473953333334066,0.331327699997928,0.04231374483878476
6000,6000,300,0,0.05,0,5258,742,450,450,300,0.36837600999958037,0.36528460000408813,0.010887435454106044
6000,6000,600,0,0.1,0,5113,887,300,300,600,0.3458377599999949,0.3451798999958555,0.003977041102064068
6000,6000,900,0,0.15,0,5130,870,150,150,900,0.4269633600000816,0.42571830000088084,0.003713449710745493
6000,6000,1200,0,0.2,0,5059,941,0,0,1200,0.3649303366658084,0.36077120000118157,0.014834024681235984
6250,6250,313,0,0.05,0,5461,789,469,469,313,0.3851483499997509,0.3840829999971902,0.004311304569196845
6250,6250,625,0,0.1,0,5338,912,313,313,625,0.37857692333321513,0.3757964999967953,0.009045517520906734
6250,6250,938,0,0.15,0,5347,903,157,157,938,0.47126925333286634,0.46783919999870704,0.011767322538589435
6250,6250,1250,0,0.2,0,5366,884,0,0,1250,0.3898415166656681,0.38816550000046846,0.00804229105644757
6500,6500,325,0,0.05,0,5644,856,488,488,325,0.43187369000030834,0.4302153999960865,0.006892386842938908
6500,6500,650,0,0.1,0,5507,993,325,325,650,0.4118216633333456,0.40901429999939865,0.01168870179047788
6500,6500,975,0,0.15,0,5497,1003,163,163,975,0.4945393466669581,0.4935177000006661,0.006921539559127672
6500,6500,1300,0,0.2,0,5582,918,0,0,1300,0.4026093433337034,0.402133399999002,0.007801889187091138
6750,6750,338,0,0.05,0,5854,896,507,507,338,0.47457827666657976,0.47048769999673823,0.012863922746151593
6750,6750,675,0,0.1,0,5795,955,338,338,675,0.4709030866664155,0.4577793999997084,0.041676501162549534
6750,6750,1013,0,0.15,0,5718,1032,169,169,1013,0.5410745499997575,0.5384680999995908,0.009909212989980465
6750,6750,1350,0,0.2,0,5739,1011,0,0,1350,0.4554852933336709,0.45255360000010114,0.009760700389063261
7000,7000,350,0,0.05,0,6070,930,525,525,350,0.5096297100002024,0.506828300000052,0.007195186072877674
7000,7000,700,0,0.1,0,5960,1040,350,350,700,0.47592484999986484,0.4752278000014485,0.004345279692989436
7000,7000,1050,0,0.15,0,5966,1034,175,175,1050,0.5643571866664084,0.5637163999999757,0.003909465516301554
7000,7000,1400,0,0.2,0,5960,1040,0,0,1400,0.4848505266670448,0.4832362000015564,0.009889958897218979
