Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nProductsBefore,nProductsAfter,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,Time(s) 
14,5,6,1,0,0.2,4,3,0,3,2,0,0,1,9.460002183914185E-5
15,5,6,1,0,0.2,4,3,0,3,2,0,0,1,8.829997386783361E-5
16,5,6,1,0,0.2,4,3,0,3,2,0,0,1,8.749897824600339E-5
17,5,6,1,0,0.2,4,3,0,3,2,0,0,1,8.540099952369928E-5
18,5,6,1,0,0.2,4,3,0,3,2,0,0,1,8.999899728223681E-5
19,5,6,1,0,0.2,4,3,0,3,2,0,0,1,1.0189897147938609E-4
20,5,6,1,0,0.2,4,3,0,3,2,0,0,1,1.0770000517368317E-4
21,5,6,1,0,0.2,4,3,0,3,2,0,0,1,9.650102583691478E-5
22,5,6,1,0,0.2,4,3,0,3,2,0,0,1,8.919998072087765E-5
23,5,6,1,0,0.2,4,3,0,3,2,0,0,1,1.058999914675951E-4
24,5,6,1,0,0.2,4,3,0,3,2,0,0,1,1.1729897232726216E-4
25,5,6,1,0,0.2,4,3,0,3,2,0,0,1,8.9899986051023E-5
26,5,6,1,0,0.2,4,3,0,3,2,0,0,1,8.689897367730737E-5
27,5,6,1,0,0.2,4,3,0,3,2,0,0,1,9.220000356435776E-5
28,5,6,1,0,0.2,4,3,0,3,2,0,0,1,8.580100256949663E-5
29,5,6,1,0,0.2,4,3,0,3,2,0,0,1,8.630001684650779E-5
0,5,6,1,0,0.2,1,7,0,3,2,0,0,1,1.428989926353097E-4
1,5,6,1,0,0.2,1,7,0,3,2,0,0,1,1.0540103539824486E-4
2,5,6,1,0,0.2,1,7,0,3,2,0,0,1,8.620001608505845E-5
3,5,6,1,0,0.2,1,7,0,3,2,0,0,1,8.659897139295936E-5
4,5,6,1,0,0.2,1,7,0,3,2,0,0,1,8.559896377846599E-5
5,5,6,1,0,0.2,1,7,0,3,2,0,0,1,8.369999704882503E-5
6,5,6,1,0,0.2,1,7,0,3,2,0,0,1,1.230000052601099E-4
7,5,6,1,0,0.2,1,7,0,3,2,0,0,1,8.880102541297674E-5
8,5,6,1,0,0.2,1,7,0,3,2,0,0,1,8.369999704882503E-5
9,5,6,1,0,0.2,1,7,0,3,2,0,0,1,8.620100561529398E-5
10,5,6,1,0,0.2,1,7,0,3,2,0,0,1,8.579896530136466E-5
11,5,6,1,0,0.2,1,7,0,3,2,0,0,1,8.540000999346375E-5
12,5,6,1,0,0.2,1,7,0,3,2,0,0,1,8.60010040923953E-5
13,5,6,1,0,0.2,1,7,0,3,2,0,0,1,8.629995863884687E-5
14,5,6,1,0,0.2,1,7,0,3,2,0,0,1,8.490000618621707E-5
15,5,6,1,0,0.2,1,7,0,3,2,0,0,1,8.570001227781177E-5
16,5,6,1,0,0.2,1,7,0,3,2,0,0,1,8.530000923201442E-5
17,5,6,1,0,0.2,1,7,0,3,2,0,0,1,8.939899271354079E-5
18,5,6,1,0,0.2,1,7,0,3,2,0,0,1,8.949998300522566E-5
