Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,Time(s) 
23,1000,4585,150,0,0.15,271,818,182,25,25,150,0.11849929997697473
24,1000,4585,150,0,0.15,271,818,182,25,25,150,0.1192344999872148
25,1000,4585,150,0,0.15,271,818,182,25,25,150,0.12549200002104044
26,1000,4585,150,0,0.15,271,818,182,25,25,150,0.13247269997373223
27,1000,4585,150,0,0.15,271,818,182,25,25,150,0.11892579996492714
28,1000,4585,150,0,0.15,271,818,182,25,25,150,0.11310720001347363
29,1000,4585,150,0,0.15,271,818,182,25,25,150,0.11922799999592826
0,1000,6108,200,0,0.2,369,903,97,0,0,200,0.23377649998292327
1,1000,6108,200,0,0.2,369,903,97,0,0,200,0.2330344999791123
2,1000,6108,200,0,0.2,369,903,97,0,0,200,0.2227951000095345
3,1000,6108,200,0,0.2,369,903,97,0,0,200,0.22513490001438186
4,1000,6108,200,0,0.2,369,903,97,0,0,200,0.20288989995606244
5,1000,6108,200,0,0.2,369,903,97,0,0,200,0.2056550999986939
6,1000,6108,200,0,0.2,369,903,97,0,0,200,0.20256659999722615
7,1000,6108,200,0,0.2,369,903,97,0,0,200,0.20101089996751398
8,1000,6108,200,0,0.2,369,903,97,0,0,200,0.2029331999947317
9,1000,6108,200,0,0.2,369,903,97,0,0,200,0.20078179996926337
10,1000,6108,200,0,0.2,369,903,97,0,0,200,0.20337090000975877
11,1000,6108,200,0,0.2,369,903,97,0,0,200,0.20078620000276715
12,1000,6108,200,0,0.2,369,903,97,0,0,200,0.20104860002174973
13,1000,6108,200,0,0.2,369,903,97,0,0,200,0.19855380000080913
14,1000,6108,200,0,0.2,369,903,97,0,0,200,0.20077730005141348
15,1000,6108,200,0,0.2,369,903,97,0,0,200,0.1980725000030361
16,1000,6108,200,0,0.2,369,903,97,0,0,200,0.20273269998142496
17,1000,6108,200,0,0.2,369,903,97,0,0,200,0.2023930999566801
18,1000,6108,200,0,0.2,369,903,97,0,0,200,0.21979600004851818
19,1000,6108,200,0,0.2,369,903,97,0,0,200,0.20192369999131188
20,1000,6108,200,0,0.2,369,903,97,0,0,200,0.20006810000631958
21,1000,6108,200,0,0.2,369,903,97,0,0,200,0.20113659999333322
22,1000,6108,200,0,0.2,369,903,97,0,0,200,0.20277640002314
23,1000,6108,200,0,0.2,369,903,97,0,0,200,0.2001909000100568
24,1000,6108,200,0,0.2,369,903,97,0,0,200,0.2037271999870427
25,1000,6108,200,0,0.2,369,903,97,0,0,200,0.2018269999534823
26,1000,6108,200,0,0.2,369,903,97,0,0,200,0.19957880000583827
27,1000,6108,200,0,0.2,369,903,97,0,0,200,0.19885370001429692
28,1000,6108,200,0,0.2,369,903,97,0,0,200,0.19835000002058223
29,1000,6108,200,0,0.2,369,903,97,0,0,200,0.20053879998158664
0,1250,2670,63,0,0.05,110,848,402,94,94,63,0.036086799984332174
1,1250,2670,63,0,0.05,110,848,402,94,94,63,0.035656899970490485
2,1250,2670,63,0,0.05,110,848,402,94,94,63,0.03575390001060441
3,1250,2670,63,0,0.05,110,848,402,94,94,63,0.03560790000483394
4,1250,2670,63,0,0.05,110,848,402,94,94,63,0.03565930004697293
5,1250,2670,63,0,0.05,110,848,402,94,94,63,0.037489800015464425
6,1250,2670,63,0,0.05,110,848,402,94,94,63,0.03646100003970787
7,1250,2670,63,0,0.05,110,848,402,94,94,63,0.037094199971761554
8,1250,2670,63,0,0.05,110,848,402,94,94,63,0.0362695999792777
9,1250,2670,63,0,0.05,110,848,402,94,94,63,0.03610990004381165
10,1250,2670,63,0,0.05,110,848,402,94,94,63,0.03665320004802197
11,1250,2670,63,0,0.05,110,848,402,94,94,63,0.036815700004808605
12,1250,2670,63,0,0.05,110,848,402,94,94,63,0.036411000008229166
13,1250,2670,63,0,0.05,110,848,402,94,94,63,0.03596200002357364
14,1250,2670,63,0,0.05,110,848,402,94,94,63,0.03615419997368008
15,1250,2670,63,0,0.05,110,848,402,94,94,63,0.0366978999809362
16,1250,2670,63,0,0.05,110,848,402,94,94,63,0.03622270002961159
17,1250,2670,63,0,0.05,110,848,402,94,94,63,0.035537100047804415
18,1250,2670,63,0,0.05,110,848,402,94,94,63,0.03581899998243898
19,1250,2670,63,0,0.05,110,848,402,94,94,63,0.03702570003224537
20,1250,2670,63,0,0.05,110,848,402,94,94,63,0.03705970000009984
21,1250,2670,63,0,0.05,110,848,402,94,94,63,0.036461499985307455
22,1250,2670,63,0,0.05,110,848,402,94,94,63,0.03666530002374202
23,1250,2670,63,0,0.05,110,848,402,94,94,63,0.03545369999483228
24,1250,2670,63,0,0.05,110,848,402,94,94,63,0.035627199977170676
25,1250,2670,63,0,0.05,110,848,402,94,94,63,0.036505799973383546
26,1250,2670,63,0,0.05,110,848,402,94,94,63,0.036034999997355044
27,1250,2670,63,0,0.05,110,848,402,94,94,63,0.03618779999669641
28,1250,2670,63,0,0.05,110,848,402,94,94,63,0.036411200009752065
29,1250,2670,63,0,0.05,110,848,402,94,94,63,0.03700869996100664
0,1250,4311,125,0,0.1,226,969,281,63,63,125,0.10614910000003874
1,1250,4311,125,0,0.1,226,969,281,63,63,125,0.10587879997910932
2,1250,4311,125,0,0.1,226,969,281,63,63,125,0.10985499998787418
3,1250,4311,125,0,0.1,226,969,281,63,63,125,0.11148969997884706
4,1250,4311,125,0,0.1,226,969,281,63,63,125,0.11030860000755638
5,1250,4311,125,0,0.1,226,969,281,63,63,125,0.10645970003679395
6,1250,4311,125,0,0.1,226,969,281,63,63,125,0.10633570002391934
7,1250,4311,125,0,0.1,226,969,281,63,63,125,0.10570069996174425
8,1250,4311,125,0,0.1,226,969,281,63,63,125,0.10513059998629615
9,1250,4311,125,0,0.1,226,969,281,63,63,125,0.10512940003536642
10,1250,4311,125,0,0.1,226,969,281,63,63,125,0.10876939998706803
11,1250,4311,125,0,0.1,226,969,281,63,63,125,0.104765199997928
12,1250,4311,125,0,0.1,226,969,281,63,63,125,0.10403029998997226
13,1250,4311,125,0,0.1,226,969,281,63,63,125,0.10799479996785522
14,1250,4311,125,0,0.1,226,969,281,63,63,125,0.10619829996721819
15,1250,4311,125,0,0.1,226,969,281,63,63,125,0.10405449999962002
16,1250,4311,125,0,0.1,226,969,281,63,63,125,0.10793440003180876
17,1250,4311,125,0,0.1,226,969,281,63,63,125,0.10656590003054589
18,1250,4311,125,0,0.1,226,969,281,63,63,125,0.10696409997763112
19,1250,4311,125,0,0.1,226,969,281,63,63,125,0.10816269996576011
20,1250,4311,125,0,0.1,226,969,281,63,63,125,0.10645610000938177
21,1250,4311,125,0,0.1,226,969,281,63,63,125,0.10984069999540225
22,1250,4311,125,0,0.1,226,969,281,63,63,125,0.10844139999244362
23,1250,4311,125,0,0.1,226,969,281,63,63,125,0.11192399996798486
