nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nContraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,nRulesSucessfullyExecuted,mean(s),median(s),sd(s) 
4500,4950,450,0,0.1,0,3843,657,225,225,450,40,1.122947139999936,0.9654671000025701,0.29301375068780233
4500,5175,675,0,0.15,0,3867,633,113,113,675,40,1.5132193066664816,1.4254698000004282,0.26966152756259154
4500,5400,900,0,0.2,0,3840,660,0,0,900,40,2.0658042833340007,2.006059899998945,0.27523241188198133
4750,4988,238,0,0.05,0,4133,617,357,357,238,40,0.8096594067334081,0.7354525999980979,0.16044961311988518
4750,5225,475,0,0.1,0,4021,729,238,238,475,40,1.1199596135658794,1.1106920009915484,0.10512958150628066
4750,5463,713,0,0.15,0,4045,705,119,119,713,40,1.9097198165332279,1.7848700009926688,0.32771343587282054
4750,5700,950,0,0.2,0,4035,715,0,0,950,40,2.84704983006571,2.7751350000035018,0.44541602356418775
5000,5250,250,0,0.05,0,4363,637,375,375,250,40,1.2006649199669481,1.1944674010010203,0.1678047904235338
5000,5500,500,0,0.1,0,4261,739,250,250,500,40,1.2484118298680793,1.1767984990001423,0.2241856430038016
5000,5750,750,0,0.15,0,4268,732,125,125,750,40,1.919730233300167,1.9147590000065975,0.14739166991872807
5000,6000,1000,0,0.2,0,4295,705,0,0,1000,40,3.044003116500486,2.963739598999382,0.4445732958495616
5250,5513,263,0,0.05,0,4551,699,394,394,263,40,0.9159969033333861,0.8526267999986885,0.19720098412764517
5250,5775,525,0,0.1,0,4479,771,263,263,525,40,1.2762138599995523,1.2827491000061855,0.07526980969348845
5250,6038,788,0,0.15,0,4486,764,132,132,788,40,2.3663261766332044,2.208722299008514,0.4813440162246292
5250,6300,1050,0,0.2,0,4470,780,0,0,1050,40,4.068492136534769,3.5905305000051158,1.3247596536659132
5500,5775,275,0,0.05,0,4797,703,413,413,275,40,1.4193538199004252,1.1990380990027916,0.5032451513957147
5500,6050,550,0,0.1,0,4674,826,275,275,550,40,1.821674780032481,1.7481513990060193,0.31585920391929106
5500,6325,825,0,0.15,0,4709,791,138,138,825,40,2.573857409966392,2.4603687999915564,0.4276011390136351
5500,6600,1100,0,0.2,0,4676,824,0,0,1100,40,4.663224066600378,4.251678699001786,1.0095806930124371
5750,6038,288,0,0.05,0,4996,754,432,432,288,40,1.1507226066668712,1.1618010999955004,0.05152062570739258
5750,6325,575,0,0.1,0,4855,895,288,288,575,40,1.639983496600083,1.6711576990055619,0.38043491767447835
5750,6613,863,0,0.15,0,4880,870,144,144,863,40,2.109825543333621,2.0998963000020012,0.108007715629975
5750,6900,1150,0,0.2,0,4877,873,0,0,1150,40,5.231520849899971,5.313192800007528,1.1163554098742685
6000,6300,300,0,0.05,0,5223,777,450,450,300,40,1.2411679999000627,1.2574823999893852,0.08629107555644179
6000,6600,600,0,0.1,0,5112,888,300,300,600,40,1.8656969034986104,1.8760715000098571,0.11572563128816274
6000,6900,900,0,0.15,0,5145,855,150,150,900,40,2.9727891267325806,3.0891540000011446,0.23608568211518544
6000,7200,1200,0,0.2,0,5101,899,0,0,1200,40,4.649550639966037,4.687099200004013,0.45675995969249045
6250,6563,313,0,0.05,0,5406,844,469,469,313,40,1.3484845532337204,1.3539324989978923,0.09394722598583295
6250,6875,625,0,0.1,0,5360,890,313,313,625,40,2.0194526299999174,2.039830000998336,0.0949180844175045
6250,7188,938,0,0.15,0,5302,948,157,157,938,40,3.317511583334029,3.421304600997246,0.2625318003559036
6250,7500,1250,0,0.2,0,5341,909,0,0,1250,40,5.048043106800955,5.050465599997551,0.460124715715368
6500,6825,325,0,0.05,0,5647,853,488,488,325,40,1.4764072132670358,1.4869094000023324,0.09700077893716573
6500,7150,650,0,0.1,0,5534,966,325,325,650,40,2.2417228899663315,2.2911722999997437,0.16294002427152285
6500,7475,975,0,0.15,0,5556,944,163,163,975,40,3.568297049832957,3.6978604000032647,0.3278191097711082
6500,7800,1300,0,0.2,0,5535,965,0,0,1300,40,5.64333553663358,5.459617400003481,0.5721793112935295
6750,7088,338,0,0.05,0,5853,897,507,507,338,40,1.6331176567982766,1.629521399998339,0.10436189155892013
6750,7425,675,0,0.1,0,5750,1000,338,338,675,40,2.442435549835015,2.459334700004547,0.2023758789155544
6750,7763,1013,0,0.15,0,5758,992,169,169,1013,40,4.096522829932898,4.2318158999987645,0.3799675819680848
6750,8100,1350,0,0.2,0,5778,972,0,0,1350,40,6.27979170986752,6.31768129899865,0.6577661779513586
7000,7350,350,0,0.05,0,6119,881,525,525,350,40,2.237811446767106,2.1084874990046956,0.6202312457354738
7000,7700,700,0,0.1,0,5945,1055,350,350,700,40,2.6153416300017853,2.628446000002441,0.302023546123249
7000,8050,1050,0,0.15,0,5977,1023,175,175,1050,40,4.528865066699897,3.994118699003593,1.22928879887593
7000,8400,1400,0,0.2,0,5992,1008,0,0,1400,40,7.410085626666357,7.192126100999303,1.7259991274556605
